Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL
Jerry's Vacation,Jerry's Vacation,,18,Casual,Standard,,,,
Jigoku Mario World 2,Jigoku Mario World 2,,17,Master,Kaizo,,,,
Jigoku Mario World 3,Jigoku Mario World 3,,25,Grandmaster,Kaizo,,,,
Jigoku Mario World Remastered,Jigoku Mario World Remastered,,24,Expert,Kaizo,,,,
Jigsaw's Test,Jigsaw's Test,,11,Casual,Standard,,,,
Jin'Rokh's Adventure,Jin'Rokh's Adventure,,20,Advanced,Kaizo,,,,
JISH,JISH,,62,Intermediate,Kaizo,,,,
Joe Biden for the PS2: Re-Elected,Joe Biden for the PS2: Re-Elected,,5,Advanced,Kaizo,,,,
Joeey's Level Collection,Joeey's Level Collection,,6,Casual,Standard,,,,
John's Unfunny World - Phase 1,John's Unfunny World - Phase 1,,4,Intermediate,Standard,,,,
JokerShellOk,JokerShellOk,,15,Grandmaster,Kaizo,,,,
Jono Hack,Jono Hack,,4,Intermediate,Standard,,,,
Jouhou,Jouhou,,7,Advanced,Kaizo,,,,
Journey To Peak,Journey To Peak,,8,Expert,Kaizo,,,,
JTTMK 3 - Mario and Moonlight's Quest,JTTMK 3 - Mario and Moonlight's Quest,,35,Casual,Standard,,,,
JUMP,JUMP,,125,Expert,Standard,,,,
JUMP½,JUMP½,,130,Advanced,Standard,,,,
Jumping Over It with Super Mario,Jumping Over It with Super Mario,,3,Expert,Kaizo,,,,
Jumpman Returns,Jumpman Returns,,4,Intermediate,Standard,,,,
Jumps Rhymes and Life,Jumps Rhymes and Life,,25,Master,Kaizo,,,,
Jumpscare,Jumpscare,,12,Master,Kaizo,,,,
Just a Normal Quest,Just a Normal Quest,,17,Intermediate,Standard,,,,
Just a Pure Vanilla Super Mario World Hack,Just a Pure Vanilla Super Mario World Hack,,8,Casual,Standard,,,,
Just Another Bad Kaizo Hack,Just Another Bad Kaizo Hack,,11,Master,Kaizo,,,,
Just Another Mario Hack,Just Another Mario Hack,,7,Intermediate,Standard,,,,
Just Another Shell Hack,Just Another Shell Hack,,10,Master,Kaizo,,,,
Just Another SMW Hack,Just Another SMW Hack,,11,Casual,Standard,,,,
Just Blob,Just Blob,,6,Newcomer,Standard,,,,
just like amy; exactly like amy,just like amy; exactly like amy,,12,Master,"Standard, Kaizo",,,,
Just Thanks,Just Thanks,,6,Advanced,Kaizo,,,,
Justice for Mario,Justice for Mario,,99,Intermediate,Standard,,,,
K-16 - Story of Steel,K-16 - Story of Steel,,25,Intermediate,Standard,,,,
Kaeru's Unnamed Hack,Kaeru's Unnamed Hack,,11,Casual,Standard,,,,
"Kaiden, where's your head at??","Kaiden, where's your head at??",,3,Intermediate,Standard,,,,
Kaiketsoy Mario,Kaiketsoy Mario,,1,Expert,Kaizo,,,,
Kain's Quest,Kain's Quest,,13,Intermediate,Standard,,,,
Kaitenzushi,Kaitenzushi,,10,Expert,Kaizo,,,,
Kaizo,Kaizo,,5,Master,Kaizo,,,,
Kaizo 2: The Kaizening,Kaizo 2: The Kaizening,,5,Master,Kaizo,,,,
Kaizo 3 Styled Hack,Kaizo 3 Styled Hack,,10,Master,Kaizo,,,,
kaizo beats to run quick to - vol. 3,kaizo beats to run quick to - vol. 3,,8,Expert,Kaizo,,,,
Kaizo Breeze,Kaizo Breeze,,12,Casual,Kaizo,,,,
Kaizo Consistency,Kaizo Consistency,,36,Intermediate,Kaizo,,,,
Kaizo Crisis,Kaizo Crisis,,5,Master,Kaizo,,,,
Kaizo Crisis 2,Kaizo Crisis 2,,7,Expert,Kaizo,,,,
Kaizo Dreamland,Kaizo Dreamland,,4,Expert,Kaizo,,,,
Kaizo Island,Kaizo Island,,12,Expert,Kaizo,,,,
Kaizo Kidz,Kaizo Kidz,,10,Intermediate,Kaizo,,,,
Kaizo Kong Country,Kaizo Kong Country,,10,Intermediate,Kaizo,,,,
Kaizo Marathon,Kaizo Marathon,,1,Expert,Kaizo,,,,
Kaizo Mario World,Kaizo Mario World,,11,Expert,Kaizo,,,,
Kaizo Mario World 2,Kaizo Mario World 2,,9,Master,Kaizo,,,,
Kaizo Mario World 3,Kaizo Mario World 3,,12,Grandmaster,Kaizo,,,,
Kaizo no Notam,Kaizo no Notam,,10,Master,Kaizo,,,,
Kaizo no Yume,Kaizo no Yume,,22,Expert,Kaizo,,,,
Kamek and the Shroobs,Kamek and the Shroobs,,25,Casual,Standard,,,,
Kamek's Island,Kamek's Island,,82,Casual,Standard,,,,
Kamek's Revenge,Kamek's Revenge,,10,Casual,Standard,,,,
Kamikaze,Kamikaze,,28,Advanced,Kaizo,,,,
Kaos Islands,Kaos Islands,,42,Intermediate,Standard,,,,
Karma,Karma,,13,Expert,Kaizo,,,,
Karoshi Mario,Karoshi Mario,,35,Casual,Standard,,,,
KawaMarioWorld,KawaMarioWorld,,13,Expert,Kaizo,,,,
Kazue World,Kazue World,,12,Advanced,Kaizo,,,,
Kazue World 2,Kazue World 2,,15,Expert,Kaizo,,,,
Kekcroc DASH!,Kekcroc DASH!,,5,Advanced,Standard,,,,
Keratin Valley,Keratin Valley,,4,Grandmaster,Kaizo,,,,
Ketchup Adventure,Ketchup Adventure,,1,Casual,Standard,,,,
Kibeth Takes a Walk,Kibeth Takes a Walk,,11,Advanced,Kaizo,,,,
Kid Adventure,Kid Adventure,,6,Intermediate,Standard,,,,
Kid Adventure 2: Biza Strikes Back,Kid Adventure 2: Biza Strikes Back,,6,Casual,Standard,,,,
Kid Adventure 3: The Will of Sakito,Kid Adventure 3: The Will of Sakito,,32,Casual,Standard,,,,
Kid Adventure 4: Kid Xtreme,Kid Adventure 4: Kid Xtreme,,13,Intermediate,Standard,,,,
Kid Adventure 5: Amazing Kid,Kid Adventure 5: Amazing Kid,,11,Newcomer,Standard,,,,
Kill Luigi,Kill Luigi,,27,Expert,Kaizo,,,,
Kings Of Kuso,Kings Of Kuso,,25,Grandmaster,Kaizo,,,,
Kink's Awakening,Kink's Awakening,,10,Expert,Kaizo,,,,
Knuckles Saves Christmas,Knuckles Saves Christmas,,16,Advanced,Standard,,,,
Kogarashi Mario World,Kogarashi Mario World,,29,Expert,Kaizo,,,,
Konk World,Konk World,,9,Expert,Kaizo,,,,
Koopa Castle: The Escape,Koopa Castle: The Escape,,19,Casual,Standard,,,,
Koopa Hopper's Delight,Koopa Hopper's Delight,,13,Advanced,Kaizo,,,,
Korosu Mario World,Korosu Mario World,,17,Advanced,Kaizo,,,,
Korosu Mario World 2,Korosu Mario World 2,,21,Expert,Kaizo,,,,
KR World,KR World,,9,Advanced,Kaizo,,,,
Krabs Test,Krabs Test,,6,Expert,Kaizo,,,,
Krack The Hack,Krack The Hack,,14,Intermediate,Standard,,,,
Krack's Kafe: Because They Kicked Me Out!,Krack's Kafe: Because They Kicked Me Out!,,1,Advanced,Standard,,,,
Krefeld Kaizo Relay Race 2025,Krefeld Kaizo Relay Race 2025,,5,Expert,Kaizo,,,,
Kris' Adventure,Kris' Adventure,,6,Newcomer,Standard,,,,
Kruela Mario,Kruela Mario,,29,Expert,"Kaizo, Tool-Assisted",,,,
Kruela Mario 2,Kruela Mario 2,,29,Master,"Kaizo, Tool-Assisted",,,,
Kumikyoku,Kumikyoku,,4,Newcomer,Standard,,,,
Kuribo_Shoe the Adventure,Kuribo_Shoe the Adventure,,5,Casual,Standard,,,,
Kurisu Mario World,Kurisu Mario World,,16,Expert,Kaizo,,,,
Kuso Ecstasy,Kuso Ecstasy,,65,Expert,"Standard, Kaizo",,,,
Kuuwote's Level Pack #1,Kuuwote's Level Pack #1,,3,Newcomer,Standard,,,,
Kuuwote's Level Pack #2,Kuuwote's Level Pack #2,,13,Casual,Standard,,,,
Kuzo Heaven,Kuzo Heaven,,9,Advanced,Kaizo,,,,
L I M B O,L I M B O,,8,Master,Kaizo,,,,
L4good Island,L4good Island,,6,Newcomer,Standard,,,,
La Connaisseuse de Kaizo,La Connaisseuse de Kaizo,,9,Expert,Kaizo,,,,
La Mansion De Benja,La Mansion De Benja,,6,Expert,Kaizo,,,,
Labyrinth Of Shadows,Labyrinth Of Shadows,,5,Master,Kaizo,,,,
Lack Of Control,Lack Of Control,,1,Master,Kaizo,,,,
Lakitu's Great Adventure,Lakitu's Great Adventure,,24,Casual,Standard,,,,
Lakitu's Great Adventure 2,Lakitu's Great Adventure 2,,12,Intermediate,Standard,,,,
"Law & Order: Mushroom Kingdom Unit - Pilot Episode - Tragic Fox ""Tails"" (Director's Cut)","Law & Order: Mushroom Kingdom Unit - Pilot Episode - Tragic Fox ""Tails"" (Director's Cut)",,1,Casual,Standard,,,,
Le avventure di Mario 1,Le avventure di Mario 1,,91,Intermediate,Standard,,,,
Le Avventure di Mario 3,Le Avventure di Mario 3,,59,Intermediate,Standard,,,,
Le Connaisseur de Kaizo,Le Connaisseur de Kaizo,,8,Advanced,Kaizo,,,,
Le Gole World,Le Gole World,,6,Master,Kaizo,,,,
Le plume,Le plume,,12,Expert,Kaizo,,,,
Learn 2 Kaizo,Learn 2 Kaizo,,68,Advanced,Kaizo,,,,
Learn To Shell Jump,Learn To Shell Jump,,5,Intermediate,Kaizo,,,,
Learning to Fly,Learning to Fly,,64,Expert,Kaizo,,,,
"Legend of the Rift, Volume 1: Venus","Legend of the Rift, Volume 1: Venus",,16,Casual,Standard,,,,
Legends of Mario,Legends of Mario,,25,Advanced,Kaizo,,,,
Legends of the Hidden Thwimple,Legends of the Hidden Thwimple,,7,Expert,Kaizo,,,,
Lemmy's Wrath,Lemmy's Wrath,,47,Advanced,Standard,,,,
Lesbian Vampire Killer World 5000,Lesbian Vampire Killer World 5000,,7,Intermediate,Standard,,,,
Lessness World,Lessness World,,27,Expert,Kaizo,,,,
Lessness World 2,Lessness World 2,,34,Master,Kaizo,,,,
Let's A Go!,Let's A Go!,,34,Master,Kaizo,,,,
Let's Give Up,Let's Give Up,,8,Master,Kaizo,,,,
Level - 2023 Remaster,Level - 2023 Remaster,,1,Master,"Kaizo, Tool-Assisted",,,,
Levels,Levels,,15,Newcomer,Standard,,,,
Lewd Mario,Lewd Mario,,8,Advanced,Standard,,,,
Life Of Glitches,Life Of Glitches,,1,Advanced,"Kaizo, Tool-Assisted",,,,
Lightning Crashes,Lightning Crashes,,51,Casual,Standard,,,,
Lil Mallow World,Lil Mallow World,,4,Intermediate,Kaizo,,,,
Link's Adventure,Link's Adventure,,10,Newcomer,Standard,,,,
Linnaea,Linnaea,,15,Advanced,Kaizo,,,,
Liquid Metal,Liquid Metal,,9,Expert,Kaizo,,,,
Literally just a bonus room,Literally just a bonus room,,1,Master,"Tool-Assisted, Pit",,,,
Little Mario World,Little Mario World,,23,Advanced,Kaizo,,,,
Long Road to Ruin,Long Road to Ruin,,1,Grandmaster,Kaizo,,,,
Lord Pickle World,Lord Pickle World,,23,Expert,Kaizo,,,,
Lost and Found,Lost and Found,,16,Newcomer,Standard,,,,
Lost Dimension,Lost Dimension,,13,Newcomer,Standard,,,,
Lost in Puzzle Land,Lost in Puzzle Land,,9,Casual,Standard,,,,
Lost in the Forest,Lost in the Forest,,111,Intermediate,Standard,,,,
Lost In Yoshi Island Remix,Lost In Yoshi Island Remix,,5,Newcomer,Standard,,,,
Lost Mario Bros.,Lost Mario Bros.,,21,Casual,Standard,,,,
Lost On The Islands,Lost On The Islands,,3,Newcomer,Standard,,,,
Lost Paths,Lost Paths,,80,Advanced,Standard,,,,
Lost Places,Lost Places,,6,Expert,Kaizo,,,,
Lost Wayfarers- The Escapade back to Mushroom Kingdom,Lost Wayfarers- The Escapade back to Mushroom Kingdom,,47,Intermediate,Standard,,,,
Love Letter,Love Letter,,18,Intermediate,Kaizo,,,,
Love Yourself,Love Yourself,,17,Intermediate,Kaizo,,,,
Lucky,Lucky,,6,Advanced,Kaizo,,,,
Luigi and the Final Year,Luigi and the Final Year,,56,Intermediate,Standard,,,,
Luigi and the Happy Hillside,Luigi and the Happy Hillside,,5,Newcomer,Standard,,,,
Luigi and the Island of Mystery,Luigi and the Island of Mystery,,93,Casual,Standard,,,,
Luigi and the Mysterious Portals,Luigi and the Mysterious Portals,,10,Casual,Standard,,,,
Luigi in: The Rescue of Daisy,Luigi in: The Rescue of Daisy,,8,Newcomer,Standard,,,,
Luigi Kaizo King,Luigi Kaizo King,,13,Expert,Kaizo,,,,
Luigi lost in Telinc's World,Luigi lost in Telinc's World,,10,Newcomer,Standard,,,,
Luigi Stardust Adventure,Luigi Stardust Adventure,,65,Intermediate,Standard,,,,
Luigi's Adventure 3: Overseas Edition,Luigi's Adventure 3: Overseas Edition,,97,Expert,Standard,,,,
Luigi's Adventure 4: The Revival of Tortoise Empire,Luigi's Adventure 4: The Revival of Tortoise Empire,,30,Casual,Standard,,,,
Luigi's Adventure OSE,Luigi's Adventure OSE,,87,Advanced,Standard,,,,
Luigi's Adventure OSE - The Lost Levels,Luigi's Adventure OSE - The Lost Levels,,9,Master,Standard,,,,
Luigi's Decision,Luigi's Decision,,7,Casual,Standard,,,,
Luigi's First Adventure,Luigi's First Adventure,,6,Casual,Standard,,,,
Luigi's Heated Journey,Luigi's Heated Journey,,15,Newcomer,Standard,,,,
Luigi's Lost Levels,Luigi's Lost Levels,,4,Expert,Kaizo,,,,
Luigi's Lost Levels 2 - Back With A Revenge,Luigi's Lost Levels 2 - Back With A Revenge,,9,Expert,Kaizo,,,,
Luigi's Lost Levels 3 - Electrik Boogaloo,Luigi's Lost Levels 3 - Electrik Boogaloo,,8,Expert,Kaizo,,,,
Luigi's Misadventures - Tsux Namine's factor,Luigi's Misadventures - Tsux Namine's factor,,108,Casual,Standard,,,,
Luigi's Misadventures 2 - Leviathan's Mania,Luigi's Misadventures 2 - Leviathan's Mania,,103,Intermediate,Standard,,,,
Luigi's Misadventures 3 - Recipe for a disaster,Luigi's Misadventures 3 - Recipe for a disaster,,108,Intermediate,Standard,,,,
Luigi's Misadventures 4 - Galactic Kids Next Door,Luigi's Misadventures 4 - Galactic Kids Next Door,,105,Intermediate,Standard,,,,
Luigi's Misadventures 5 - Rougenia Merald's challenge,Luigi's Misadventures 5 - Rougenia Merald's challenge,,112,Intermediate,Standard,,,,
Luigi's Misadventures 6 - Bambulua,Luigi's Misadventures 6 - Bambulua,,103,Intermediate,Standard,,,,
Luigi's New Quest,Luigi's New Quest,,18,Intermediate,Standard,,,,
Luigi's Revenge!,Luigi's Revenge!,,7,Casual,Standard,,,,
Luigis Story,Luigis Story,,50,Casual,Standard,,,,
Luigi's Super Adventure - C3 Demo,Luigi's Super Adventure - C3 Demo,,12,Casual,Standard,,,,
Luigi's Superstar Search,Luigi's Superstar Search,,11,Newcomer,Standard,,,,
Luminescent,Luminescent,,16,Expert,Kaizo,,,,
Lunar Legends,Lunar Legends,,27,Casual,Standard,,,,
Lunar Legends: The Search,Lunar Legends: The Search,,4,Newcomer,Standard,,,,
Lunar Magic 1.0 Adventures,Lunar Magic 1.0 Adventures,,7,Casual,Standard,,,,
LunchBreak,LunchBreak,,10,Intermediate,Standard,,,,
Lurn 2 Shell,Lurn 2 Shell,,59,Advanced,Kaizo,,,,
Lydian Mario World,Lydian Mario World,,20,Master,Kaizo,,,,
Mad with Kaizo Power,Mad with Kaizo Power,,21,Expert,Kaizo,,,,
Made of Fantasy,Made of Fantasy,,16,Advanced,Kaizo,,,,
Magiopolis,Magiopolis,,70,Intermediate,Standard,,,,
Mahogen,Mahogen,,17,Advanced,Kaizo,,,,
mancorsa,mancorsa,,13,Advanced,Kaizo,,,,
Maple Island,Maple Island,,8,Newcomer,Standard,,,,
MARIO [SMWC #],MARIO,,7,Newcomer,Standard,,,,
Mario [SMWC #],Mario,,5,Newcomer,Standard,,,,
Mario - Crazy Adventures 1: Lost in Subcoony World,Mario - Crazy Adventures 1: Lost in Subcoony World,,8,Newcomer,Standard,,,,
Mario - The Currently Unnamed Hack,Mario - The Currently Unnamed Hack,,6,Intermediate,Standard,,,,
Mario - The Mystical Gem,Mario - The Mystical Gem,,35,Casual,Standard,,,,
Mario & Friends in: Volcanic Panic,Mario & Friends in: Volcanic Panic,,21,Casual,Standard,,,,
Mario & La Sphère de Toad 2,Mario & La Sphère de Toad 2,,26,Casual,Standard,,,,
Mario & Luigi - Mecha Koopa Mayhem,Mario & Luigi - Mecha Koopa Mayhem,,7,Casual,Standard,,,,
Mario & Luigi DOS Remake,Mario & Luigi DOS Remake,,6,Newcomer,Standard,,,,
Mario & Luigi: Adventures,Mario & Luigi: Adventures,,5,Newcomer,Standard,,,,
Mario & Luigi: Kola Kingdom Quest,Mario & Luigi: Kola Kingdom Quest,,86,Casual,Standard,,,,
Mario & Luigi: Power Blast,Mario & Luigi: Power Blast,,16,Intermediate,Standard,,,,
Mario & Luigi: Starlight Island Adventure,Mario & Luigi: Starlight Island Adventure,,44,Casual,Standard,,,,
Mario & Waluigi: In Search of Luigi,Mario & Waluigi: In Search of Luigi,,28,Casual,Standard,,,,
Mario and Friends in: The Ghost's Gallery,Mario and Friends in: The Ghost's Gallery,,1,Casual,Standard,,,,
Mario and Luigi Go to White Castle,Mario and Luigi Go to White Castle,,1,Advanced,Kaizo,,,,
Mario and Luigi in an Unknown Island [SMWC #],Mario and Luigi in an Unknown Island,,12,Casual,Standard,,,,
Mario and Luigi in an Unknown Island [SMWC #],Mario and Luigi in an Unknown Island,,33,Casual,Standard,,,,
Mario and Luigi in an Unknown Island [SMWC #],Mario and Luigi in an Unknown Island,,40,Intermediate,Standard,,,,
Mario and luigi MEGA Adventure 1,Mario and luigi MEGA Adventure 1,,6,Casual,Standard,,,,
Mario And Luigi: Super Berry World,Mario And Luigi: Super Berry World,,8,Casual,Standard,,,,
Mario and The 5 Golden Eggs,Mario and The 5 Golden Eggs,,6,Casual,Standard,,,,
Mario and the Cursed Coins,Mario and the Cursed Coins,,3,Casual,Standard,,,,
Mario And The Diamond Moon,Mario And The Diamond Moon,,8,Intermediate,Standard,,,,
Mario and the Forgotten Flower,Mario and the Forgotten Flower,,5,Casual,Standard,,,,
Mario And The Golden Star,Mario And The Golden Star,,7,Intermediate,Standard,,,,
Mario and the Haunted Forest 2: Kamek's Return,Mario and the Haunted Forest 2: Kamek's Return,,11,Newcomer,Standard,,,,
Mario and the Kaizo Trials,Mario and the Kaizo Trials,,18,Advanced,Kaizo,,,,
Mario and the Magic Switches,Mario and the Magic Switches,,8,Casual,Standard,,,,
Mario and the Mushroom of Power,Mario and the Mushroom of Power,,12,Casual,Standard,,,,
Mario and the Mysterious Robot,Mario and the Mysterious Robot,,10,Casual,Standard,,,,
Mario and the Parallel World,Mario and the Parallel World,,7,Casual,Standard,,,,
Mario and the Passage of Perils,Mario and the Passage of Perils,,4,Intermediate,Standard,,,,
Mario and the Pipe of Challenges,Mario and the Pipe of Challenges,,6,Newcomer,Standard,,,,
Mario and the Sphere of Toad - Reloaded,Mario and the Sphere of Toad - Reloaded,,7,Casual,Standard,,,,
Mario and the Stolen Yoshi-Egg,Mario and the Stolen Yoshi-Egg,,5,Intermediate,Standard,,,,
Mario and the Thwomp,Mario and the Thwomp,,3,Casual,Standard,,,,
Mario at the Kasranova Levels,Mario at the Kasranova Levels,,8,Casual,Standard,,,,
Mario at the Kasranova Levels 2: Imgelemden Hallice,Mario at the Kasranova Levels 2: Imgelemden Hallice,,32,Casual,Standard,,,,
Mario Bros Adventure Land,Mario Bros Adventure Land,,7,Casual,Standard,,,,
Mario Brother World,Mario Brother World,,17,Casual,Standard,,,,
Mario Brother World 2,Mario Brother World 2,,6,Newcomer,Standard,,,,
Mario Brothers Adventures,Mario Brothers Adventures,,60,Newcomer,Standard,,,,
Mario Curse Hunter,Mario Curse Hunter,,11,Intermediate,Standard,,,,
Mario Destroys the World,Mario Destroys the World,,3,Advanced,Kaizo,,,,
MARIO EN BUSCA DE LA MASTER EMERALD (DEMO WORLD 2),MARIO EN BUSCA DE LA MASTER EMERALD (DEMO WORLD 2),,12,Casual,Standard,,,,
Mario Explores the Sewers,Mario Explores the Sewers,,7,Intermediate,Standard,,,,
Mario Frenzy,Mario Frenzy,,16,Intermediate,Standard,,,,
Mario Gives Up,Mario Gives Up,,86,Intermediate,Standard,,,,
Mario Gives Up 2,Mario Gives Up 2,,95,Intermediate,Standard,,,,
Mario Gives Up 3,Mario Gives Up 3,,95,Intermediate,Standard,,,,
Mario goes on an adventure for apparently no reason,Mario goes on an adventure for apparently no reason,,18,Casual,Standard,,,,
Mario goes to a castle to pay his taxes,Mario goes to a castle to pay his taxes,,5,Casual,Standard,,,,
Mario Goes to Brazil,Mario Goes to Brazil,,11,Advanced,Standard,,,,
Mario goes to the Adventure Park,Mario goes to the Adventure Park,,5,Casual,Standard,,,,
Mario Goes To The Store,Mario Goes To The Store,,56,Intermediate,Standard,,,,
Mario goes to Wendy's,Mario goes to Wendy's,,13,Casual,Standard,,,,
Mario Got Bored,Mario Got Bored,,10,Newcomer,Standard,,,,
Mario in a Mysterious World,Mario in a Mysterious World,,6,Casual,Standard,,,,
Mario in a Strange Adventure,Mario in a Strange Adventure,,5,Casual,Standard,,,,
Mario in Another Land,Mario in Another Land,,7,Newcomer,Standard,,,,
Mario In Dragon Land,Mario In Dragon Land,,6,Newcomer,Standard,,,,
Mario in Leprechaun Island,Mario in Leprechaun Island,,9,Intermediate,Standard,,,,
Mario In Lucid Dream,Mario In Lucid Dream,,20,Master,"Kaizo, Tool-Assisted",,,,
Mario In Midgard,Mario In Midgard,,85,Intermediate,Standard,,,,
Mario In Mushroom Rix Land,Mario In Mushroom Rix Land,,32,Advanced,Standard,,,,
Mario In Mushroom Rix Land 2 Gimmicky Island,Mario In Mushroom Rix Land 2 Gimmicky Island,,13,Intermediate,Standard,,,,
Mario In Mushroom Rix Land 3 Master Thwomps Avenge,Mario In Mushroom Rix Land 3 Master Thwomps Avenge,,42,Advanced,Standard,,,,
Mario In Mushroom Rix Land 4 Trip To Nano Island,Mario In Mushroom Rix Land 4 Trip To Nano Island,,50,Advanced,Standard,,,,
Mario In Mushroom Rix Land 5,Mario In Mushroom Rix Land 5,,4,Intermediate,Standard,,,,
Mario in Neb's Land,Mario in Neb's Land,,5,Advanced,Standard,,,,
Mario in Search of the Rest,Mario in Search of the Rest,,11,Casual,Standard,,,,
Mario In The World Of Matik,Mario In The World Of Matik,,26,Casual,Standard,,,,
Mario in the Yoshis' Heartland,Mario in the Yoshis' Heartland,,8,Casual,Standard,,,,
Mario in Whatever Land,Mario in Whatever Land,,8,Intermediate,Standard,,,,
Mario into Megaman,Mario into Megaman,,96,Casual,Standard,,,,
Mario is looking for the Golden Pizzaland,Mario is looking for the Golden Pizzaland,,52,Casual,Standard,,,,
Mario Is Missing 3: Mario's Wreck,Mario Is Missing 3: Mario's Wreck,,3,Newcomer,Standard,,,,
Mario is Missing! Done Right,Mario is Missing! Done Right,,90,Casual,Standard,,,,
Mario is Missing... again,Mario is Missing... again,,13,Newcomer,Standard,,,,
Mario is Screwed,Mario is Screwed,,9,Advanced,"Kaizo, Tool-Assisted",,,,
Mario is Sick!,Mario is Sick!,,4,Newcomer,Standard,,,,
Mario is Stupid,Mario is Stupid,,12,Grandmaster,Kaizo,,,,
Mario is too casual,Mario is too casual,,18,Expert,Kaizo,,,,
Mario Keymanship,Mario Keymanship,,6,Master,Kaizo,,,,
Mario Kick World,Mario Kick World,,4,Expert,Kaizo,,,,
Mario Left the Garage Door Open Again,Mario Left the Garage Door Open Again,,20,Expert,Kaizo,,,,
Mario Lost in the Fruit Cave,Mario Lost in the Fruit Cave,,11,Casual,Standard,,,,
Mario Mania [SMWC #],Mario Mania,,10,Expert,Kaizo,,,,
Mario Mania [SMWC #],Mario Mania,,15,Intermediate,Standard,,,,
Mario Mario Mario,Mario Mario Mario,,8,Intermediate,Standard,,,,
Mario Mario vs the Crab Army,Mario Mario vs the Crab Army,,10,Master,Kaizo,,,,
Mario Mario's Superior Platforming Physics Challenge,Mario Mario's Superior Platforming Physics Challenge,,4,Advanced,Kaizo,,,,
Mario Memorandum,Mario Memorandum,,15,Grandmaster,Kaizo,,,,
Mario Memorandum: New Game Plus,Mario Memorandum: New Game Plus,,15,Expert,Kaizo,,,,
Mario Mission,Mario Mission,,7,Advanced,Kaizo,,,,
Mario Must Die (SMWC version),Mario Must Die (SMWC version),,9,Advanced,"Kaizo, Tool-Assisted",,,,
Mario Must Die 2,Mario Must Die 2,,9,Expert,"Kaizo, Tool-Assisted",,,,
Mario No Kumorizora,Mario No Kumorizora,,18,Master,Kaizo,,,,
Mario OC,Mario OC,,2,Intermediate,"Kaizo, Tool-Assisted",,,,
Mario on Ice,Mario on Ice,,6,Casual,Standard,,,,
Mario on the Moon,Mario on the Moon,,2,Advanced,Kaizo,,,,
Mario Quits,Mario Quits,,17,Expert,Kaizo,,,,
Mario Quits 2,Mario Quits 2,,16,Expert,Kaizo,,,,
Mario Rescues 4th Of July,Mario Rescues 4th Of July,,9,Newcomer,Standard,,,,
Mario Rescues Santa Claus,Mario Rescues Santa Claus,,33,Intermediate,Standard,,,,
Mario Rescues the Golden Mushroom,Mario Rescues the Golden Mushroom,,42,Casual,Standard,,,,
Mario Returns To Yoshi's Island,Mario Returns To Yoshi's Island,,12,Newcomer,Standard,,,,
Mario Saves Christmas,Mario Saves Christmas,,13,Casual,Standard,,,,
Mario Saves Christmas 2021,Mario Saves Christmas 2021,,10,Intermediate,Standard,,,,
Mario Saves Easter 2023,Mario Saves Easter 2023,,17,Casual,Standard,,,,
Mario Saves Fermin's Birthday,Mario Saves Fermin's Birthday,,9,Casual,Standard,,,,
Mario Saves Peach Once Again,Mario Saves Peach Once Again,,16,Casual,Standard,,,,
Mario Saves Princess Peach,Mario Saves Princess Peach,,10,Casual,Standard,,,,
Mario Saves Princess Toadstool 2,Mario Saves Princess Toadstool 2,,9,Casual,Standard,,,,
Mario Saves Spring Break,Mario Saves Spring Break,,9,Casual,Standard,,,,
Mario Saves Spring Break 2,Mario Saves Spring Break 2,,9,Casual,Standard,,,,
Mario Saves Summer Break 2024,Mario Saves Summer Break 2024,,14,Intermediate,Standard,,,,
Mario Silver Land Ep I,Mario Silver Land Ep I,,7,Casual,Standard,,,,
Mario story : Return to sweet n' sour land,Mario story : Return to sweet n' sour land,,21,Intermediate,Kaizo,,,,
Mario Super R,Mario Super R,,8,Advanced,Kaizo,,,,
Mario the Archaeologist,Mario the Archaeologist,,17,Newcomer,Standard,,,,
Mario to the Rescue,Mario to the Rescue,,7,Casual,Standard,,,,
Mario travels around the World,Mario travels around the World,,7,Casual,Standard,,,,
Mario vs Sonic.exe 2,Mario vs Sonic.exe 2,,21,Casual,Standard,,,,
Mario VS The Police 2,Mario VS The Police 2,,34,Intermediate,Standard,,,,
Mario Vs. Big Boo,Mario Vs. Big Boo,,6,Newcomer,Standard,,,,
Mario vs. Bowser and Mighty No. 9,Mario vs. Bowser and Mighty No. 9,,80,Casual,Standard,,,,
Mario vs. Shyguy,Mario vs. Shyguy,,35,Casual,Standard,,,,
Mario vs. SONIC.EXE,Mario vs. SONIC.EXE,,18,Intermediate,Standard,,,,
Mario Vs. The Deadly Alliance,Mario Vs. The Deadly Alliance,,60,Advanced,Standard,,,,
Mario vs. the Magnificent 7,Mario vs. the Magnificent 7,,3,Casual,Standard,,,,
Mario Wakes Up... Expanded!,Mario Wakes Up... Expanded!,,2,Casual,Standard,,,,
Mario Wants His Lemonade,Mario Wants His Lemonade,,9,Newcomer,Standard,,,,
Mario World Super Yuri's Hack,Mario World Super Yuri's Hack,,16,Casual,Standard,,,,
Mario World The Mario Adventure,Mario World The Mario Adventure,,10,Casual,Standard,,,,
Mario! A New Era,Mario! A New Era,,5,Newcomer,Standard,,,,
